id,title,project,stage,state,customer,start_date,deadline,assignees,priority,tags,description,parent_task
1,Furnitures,Renovations,In Progress (Renovations),In Progress,Wood Corner,21/03/2025,15/05/2025,Gabriel Schenk,Low priority,"Client, Development","Dự án: Renovations
Tên tác vụ: Furnitures
Mức độ ưu tiên: Low priority
Mô tả: Lựa chọn và chuẩn bị các loại nội thất phù hợp cho không gian được cải tạo, đảm bảo phong cách, chất lượng và ngân sách phù hợp với yêu cầu dự án. Hoàn thành công việc này trong khoảng thời gian cho phép để hỗ trợ giai đoạn hoàn thiện cuối cùng của dự án.",Client Meeting - 17
2,Painting,Home Construction,New (Home Construction),Done,Azure Interior,03/02/2026,11/03/2026,"Emma Duncan, Joshua Quinn",Urgent,Review,Must coordinate with electrical team,Demolition - Subtask 53
3,Drywall Installation,Home Construction,New (Home Construction),Cancelled,"Lumber Inc, ASUSTeK",10/01/2026,21/01/2026,"Brittany Andrews, Samuel Jenkins",Medium priority,"Testing, Client, Design","Project: Home Construction
Task: Drywall Installation
Priority: Medium
Description: Tiến hành lắp đặt tấm drywall theo bản vẽ kỹ thuật, đảm bảo các bức tường được lắp chặt khít và thẳng hàng với các khung kết cấu. Hoàn thiện việc tape và putty trên các mối nối drywall để chuẩn bị cho sơn và hoàn thiện bề mặt cuối cùng.",Bug Fixing - Subtask 83
4,Upselling Opportunity,Sales Pipeline,Lost (Sales),Cancelled,"The Jackson Group, Brandon Freeman",14/01/2026,16/02/2026,Maryse Philippe,High priority,Budget,Custom requirements discussed,Demolition - Subtask 80
5,Flooring Upgrade,Renovations,In Progress (Renovations),In Progress,"Bright Solutions, China Export",15/01/2026,02/02/2026,"Horst Schäfer, Naman Subramanian",Urgent,"Testing, Work",Must be done <b>before</b> plumbing,Drywall Installation - Subtask 72
6,Workflow Setup,ERP Implementation,Deployment (ERP),In Progress,"ASUSTeK, Azure Interior",16/02/2026,18/03/2026,Clara Morales,High priority,Training,User acceptance pending,Bug Fixing - Subtask 67
7,Partnership Discussion,Sales Pipeline,Lead (Sales),Changes Requested,"The Jackson Group, Bright Solutions",22/10/2025,13/11/2025,Lois Bosman,High priority,Interior,Custom requirements discussed,Reference Check - 52
8,Lighting Fixtures,Renovations,Done (Renovations),Done,Camptocamp,21/04/2025,07/05/2025,Ume Kondo,Medium priority,Development,Material samples pending,Permit Approval - 18
9,Final Approval,Sales Pipeline,Lost (Sales),Cancelled,Lumber Inc,10/01/2026,21/01/2026,Hae-young Yoon,Urgent,"Training, Meeting, Review",Custom requirements discussed,Subcontractor Coordination - 86
10,Electrical Wiring,Home Construction,Cancelled (Home Construction),Changes Requested,Delta PC,06/01/2026,06/02/2026,Lara Bieri,High priority,Budget,"Project: Home Construction
Task: Electrical Wiring
Priority: High priority

Description: Thực hiện lắp đặt hệ thống dây điện, ống dẫn, và các thiết bị điện theo thiết kế kỹ thuật và tiêu chuẩn an toàn. Đảm bảo toàn bộ công việc được hoàn thành đúng quy chuẩn, an toàn điện và đáp ứng các yêu cầu của dự án xây dựng nhà ở.",Demolition - Subtask 14
11,Workflow Setup,ERP Implementation,Deployment (ERP),Waiting,Azure Interior,10/01/2026,09/02/2026,Johanna Weiß,High priority,Development,"Task: Workflow Setup
Project: ERP Implementation
Priority: High Priority

Description (Vietnamese):
Thiết lập và cấu hình các quy trình làm việc trong hệ thống ERP để đảm bảo các hoạt động kinh doanh chạy hiệu quả. Xác định các bước quy trình, quyền hạn phê duyệt và điều kiện chuyển tiếp để tối ưu hóa dòng công việc tổ chức.",Safety Compliance - 63
12,Flooring,Home Construction,Done (Home Construction),On Hold,Lumber Inc,13/02/2026,13/03/2026,Roberta Ruggiero,Urgent,"Planning, Testing, Support","
Task: Flooring
Project: Home Construction
Priority: Urgent
Description: Hoàn thành lắp đặt sàn nhà bao gồm chuẩn bị nền, chọn vật liệu sàn phù hợp và thi công theo đúng tiêu chuẩn kỹ thuật. Đảm bảo chất lượng bề mặt sàn phẳng, bền và đáp ứng yêu cầu thẩm mỹ của dự án trong thời gian soonest possible.
",Flooring Upgrade - Subtask 56
13,System Analysis,ERP Implementation,Deployment (ERP),Done,Think Big Systems,07/01/2026,19/01/2026,Gabriel Schenk,Low priority,"Meeting, Development",Integration complexity high,User Training - 97
14,Kitchen Renovations,Renovations,In Progress (Renovations),In Progress,Wood Corner,05/03/2026,19/03/2026,"Jasmine Powell, Connor Boyd",Medium priority,"Support, Meeting, Design",The customer did not choose the colour yet,Roof Installation - 45
15,Security Audit,ERP Implementation,Deployment (ERP),Waiting,"Deco Addict, Camptocamp",20/02/2026,27/02/2026,"Ronald Manning, Leonard Schubert",Low priority,"Documentation, Interior",Critical for Q1 launch,
16,Partnership Discussion,Sales Pipeline,Qualified (Sales),Cancelled,Gemini Furniture,13/02/2026,03/03/2026,Roberta Ruggiero,Low priority,"Work, Support, Review",Multiple stakeholders involved,Final Touches - 18
17,Client Walkthrough,Home Construction,Cancelled (Home Construction),On Hold,"Ready Mat, Deco Addict",02/12/2025,24/01/2026,Beatrice Wyss,Urgent,Documentation,Must coordinate with electrical team,
18,Door Installation,Renovations,In Progress (Renovations),Cancelled,ASUSTeK,24/06/2025,17/07/2025,"Jean Coppens, Wei Lin Mak",Medium priority,"Planning, Work, Interior","
Project: Renovations
Task: Door Installation
Priority: Medium
Description: Lắp đặt các cửa ra vào mới theo thiết kế kiến trúc, đảm bảo đúng kích thước, định vị chính xác và hoàn thiện các chi tiết kết nối. Hoàn thành công việc với chất lượng cao, kiểm tra độ khít kín và độ mượt mà của cánh cửa trước khi bàn giao.
",Partnership Discussion - 37
19,Subcontractor Coordination,Home Construction,In Progress (Home Construction),Done,"Agrolait, ASUSTeK",14/02/2026,07/03/2026,Guizhen Yu,Medium priority,"Support, Design","Dự án: Home Construction
Nhiệm vụ: Subcontractor Coordination
Ưu tiên: Medium priority

Mô tả: Điều phối và giám sát các nhà thầu phụ để đảm bảo tiến độ công việc, chất lượng thực hiện, và tuân thủ các thỏa thuận hợp đồng trong dự án xây dựng nhà. Quản lý lịch trình làm việc, giao tiếp hiệu quả, và giải quyết các vấn đề phát sinh để đảm bảo dự án hoàn thành đúng tiến độ và ngân sách.",
20,ROI Presentation,Sales Pipeline,Qualified (Sales),In Progress,"Ready Mat, Delta PC",27/08/2025,14/09/2025,Nadzieja Sobczyk,High priority,"Testing, Client",Timeline is aggressive,Material Selection - 77
21,Landscaping,Home Construction,Done (Home Construction),Approved,"Bright Solutions, The Jackson Group",07/04/2025,21/05/2025,Willow Gibson,Medium priority,"Training, Testing","Project: Home Construction
Task: Landscaping
Priority: Medium
Description: Thiết kế và thực hiện công việc cảnh quan bao gồm trồng cây, cỏ, trang trí sân vườn để tạo môi trường xanh và thẩm mỹ cho khu vực xung quanh ngôi nhà. Hoàn thành các công việc chuẩn bị địa hình, lắp đặt hệ thống tưới nước và đảm bảo chất lượng theo tiêu chuẩn dự án.",Requirement Gathering - Subtask 32
22,Competitor Analysis - 97,Sales Pipeline,Qualified (Sales),Waiting,"Ready Mat, Camptocamp",08/02/2026,01/03/2026,"Roberta Ruggiero, Amit Rajagopalan",High priority,Urgent,Budget approval pending,Reference Check - 70
23,Door Installation - 54,Renovations,Done (Renovations),Changes Requested,Azure Interior,29/01/2026,02/03/2026,Vanessa Jiménez,Low priority,"Documentation, Meeting",The customer did not choose the colour yet,Kitchen Renovations - 78
24,User Training - 97,ERP Implementation,Planning (ERP),On Hold,Think Big Systems,23/02/2025,22/04/2025,"Long Hồ, Vinícius Farias",Urgent,"Interior, Documentation",Performance benchmarks required,Permit Application - Subtask 35
25,Electrical Wiring - 91,Home Construction,Cancelled (Home Construction),Done,China Export,01/02/2026,27/02/2026,Jenny Vikman,Low priority,Work,Foundation needs to be completed before winter,Post Go-Live Support - Subtask 5
26,Workflow Setup - 66,ERP Implementation,Deployment (ERP),Approved,"Deco Addict, Delta PC",02/11/2025,12/12/2025,"Hilde Koch, Vicente Prieto",High priority,"Budget, Review, Work",Performance benchmarks required,Design Consultation - 32
27,Kitchen Renovations - 78,Renovations,Review (Renovations),Cancelled,"Ready Mat, ASUSTeK",25/12/2025,19/01/2026,Emma Käser,Medium priority,"Interior, Training","Tên: Kitchen Renovations - 78
Dự án: Renovations
Độ ưu tiên: Medium priority
Mô tả: Thực hiện các công việc cải tạo và nâng cấp nhà bếp theo tiêu chuẩn thiết kế hiện đại, bao gồm cập nhật thiết bị, vật liệu hoàn thiện và bố trí không gian. Đảm bảo hoàn thành công việc đúng tiến độ và đạt yêu cầu chất lượng cao.",
28,Tile Work - 8,Renovations,Done (Renovations),Changes Requested,The Jackson Group,10/10/2025,08/11/2025,"Dũng Trịnh, Chie Miyamoto",Low priority,"Documentation, Budget",The customer did not choose the colour yet,Design Consultation - 70
29,Material Procurement - 90,Home Construction,New (Home Construction),Changes Requested,Deco Addict,26/12/2025,14/01/2026,"Jürgen Voigt, Alejandro Domínguez",Urgent,"Documentation, Budget, Development",Waiting for material delivery,Post Go-Live Support - Subtask 92
30,Client Meeting - 17,Sales Pipeline,Proposal (Sales),In Progress,"China Export, ASUSTeK",07/10/2025,14/11/2025,Isaac Sequeira,Medium priority,Meeting,Budget approval pending,Reference Check - Subtask 60
31,Design Consultation - 32,Renovations,Done (Renovations),Waiting,Think Big Systems,07/01/2026,19/01/2026,Celina Anand,Urgent,Interior,Budget adjustment required,Go-Live Planning - Subtask 7
32,Subcontractor Coordination - 86,Home Construction,Cancelled (Home Construction),Changes Requested,"Azure Interior, China Export",13/02/2026,13/03/2026,"Peter Schulte, Matthew Bishop",Urgent,"Design, Interior",Client requested changes to the original plan,Report Customization - Subtask 6
33,Exterior Finishing - 2,Home Construction,New (Home Construction),On Hold,"China Export, Agrolait",05/03/2026,24/03/2026,"Elina Engberg, Joshua Quinn",Low priority,"Development, Client","Dự án: Home Construction
Nhiệm vụ: Exterior Finishing - 2
Mức ưu tiên: Low priority
Mô tả: Hoàn thiện các chi tiết ngoại thất bao gồm sơn tường, lắp đặt mái chức năng và xử lý các khe hở nhằm đảm bảo bền vững trước yếu tố thời tiết. Kiểm tra và điều chỉnh các phần tử ngoài cùng để đạt tiêu chuẩn chất lượng và tính thẩm mỹ của công trình.",
34,Permit Approval - 88,Home Construction,New (Home Construction),Approved,China Export,07/02/2026,27/02/2026,"Carina Lundström, Elia Furrer",Urgent,"Development, Review, Design",Waiting for material delivery,Data Migration - 48
35,Permit Application - 63,Renovations,New (Renovations),Approved,Gemini Furniture,16/02/2026,08/03/2026,Gabriel Schenk,Low priority,"Work, Design, Support","Task: Permit Application - 63
Project: Renovations
Priority: Low priority
Description: Xử lý hồ sơ xin phép số 63 cho dự án Renovations, bao gồm các yêu cầu cấp phép và thủ tục hành chính liên quan. Đảm bảo tất cả các tài liệu cần thiết được hoàn thành và nộp đúng hạn theo quy định.",Permit Approval - 72
36,User Training - 99,ERP Implementation,Testing (ERP),Waiting,Deco Addict,17/02/2025,17/03/2025,"Louise Newton, Rika Kawasaki",Medium priority,"Development, Review, Meeting",User acceptance pending,System Analysis
37,Window Replacement - 65,Renovations,New (Renovations),On Hold,Azure Interior,19/01/2026,04/02/2026,"Messias Pinheiro, Jean Coppens",High priority,Review,"Dự án: Renovations
Tác vụ: Window Replacement - 65
Ưu tiên: High priority

Mô tả: Thay thế cửa sổ số 65 theo tiêu chuẩn chất lượng cao với các vật liệu bền vững và hiệu năng năng lượng tối ưu. Hoàn thành công việc trong thời hạn quy định để đảm bảo tiến độ dự án cải tạo toàn bộ.",Permit Application - Subtask 59
38,Final Touches - 18,Renovations,New (Renovations),Approved,"China Export, Brandon Freeman",21/02/2026,24/03/2026,Morgan Nichols,Low priority,"Work, Urgent, Design","Tên dự án: Renovations
Tên nhiệm vụ: Final Touches - 18
Mức độ ưu tiên: Thấp
Mô tả: Hoàn thành các chi tiết cuối cùng để đảm bảo chất lượng và sự hài lòng của khách hàng. Kiểm tra kỹ lưỡng toàn bộ công trình và điều chỉnh những khuyết điểm nhỏ nếu cần thiết.",ROI Presentation
39,Safety Compliance - 63,Home Construction,In Progress (Home Construction),Done,"ASUSTeK, Gemini Furniture",20/08/2025,08/09/2025,Cheng Tang,Low priority,"Support, Documentation, Testing","Task ID: Safety Compliance - 63
Project: Home Construction
Priority: Low priority

Description:
Kiểm tra và đảm bảo tuân thủ các tiêu chuẩn an toàn xây dựng hiện hành tại công trình, bao gồm kiểm định các thiết bị bảo vệ và điều kiện làm việc an toàn. Thực hiện báo cáo chi tiết về tình trạng tuân thủ an toàn để lưu giữ hồ sơ dự án.",Drywall Installation - 34
40,Requirement Analysis - 99,Sales Pipeline,Won (Sales),Cancelled,Ready Mat,19/12/2025,20/01/2026,"Ryan Wallace, Lorena Dias",Urgent,"Development, Planning",High priority client - CEO involvement,
41,Workflow Setup - 27,ERP Implementation,Planning (ERP),Cancelled,"Camptocamp, Wood Corner",24/11/2025,26/12/2025,"Morgan Nichols, Đào Đỗ",Urgent,"Budget, Interior",Critical for Q1 launch,Access Control Setup - Subtask 64
42,HVAC Installation - 6,Home Construction,In Progress (Home Construction),Waiting,Think Big Systems,05/01/2026,23/01/2026,"Ella Stone, Yiran Bai",Urgent,"Testing, Support, Work",Client requested changes to the original plan,Bathroom Fixtures - 66
43,Material Selection - 77,Renovations,New (Renovations),Waiting,"Delta PC, Gemini Furniture",01/11/2025,19/11/2025,Robert Ekström,Urgent,"Support, Design","Task: Material Selection - 77
Project: Renovations
Priority: Urgent

Description: Tiến hành lựa chọn và đánh giá các vật liệu phù hợp cho giai đoạn thi công 77 của dự án Renovations nhằm đảm bảo chất lượng và tiến độ công trình. Hoàn thành việc xác định các nhà cung cấp và thực hiện đặt hàng vật liệu trong thời gian sớm nhất để không ảnh hưởng đến lịch trình dự án.",
44,Final Inspection - 78,Home Construction,Cancelled (Home Construction),Waiting,Azure Interior,11/01/2026,10/02/2026,Hyun-jung Cho,Low priority,Client,Foundation needs to be completed before winter,Kitchen Cabinets - Subtask 47
45,Performance Testing - 6,ERP Implementation,Testing (ERP),On Hold,Lumber Inc,05/01/2026,01/02/2026,Louise Newton,Urgent,"Meeting, Work, Client","Task ID: Performance Testing - 6
Project: ERP Implementation
Priority: Urgent
Description: Thực hiện kiểm tra hiệu suất hệ thống ERP với tải lượng giao dịch cao để đảm bảo tính ổn định và đáp ứng các yêu cầu về thời gian phản hồi. Xác định và ghi nhận các điểm tắc nghẽn trong hiệu năng để tối ưu hóa trước khi triển khai chính thức.",Material Selection - 77
46,Roof Installation - 45,Home Construction,New (Home Construction),On Hold,Brandon Freeman,07/03/2026,24/03/2026,Rizwan Wu,Medium priority,"Review, Support","Dự án: Home Construction
Nhiệm vụ: Roof Installation - 45
Mức độ ưu tiên: Medium priority
Mô tả: Lắp đặt hệ thống mái che cho công trình với các tiêu chuẩn kỹ thuật và an toàn xây dựng. Đảm bảo hoàn thành đúng tiến độ theo kế hoạch dự án.",Kitchen Renovations
47,Module Configuration - 79,ERP Implementation,Planning (ERP),Cancelled,The Jackson Group,14/02/2026,16/03/2026,"Elsa David, Elina Engberg",Low priority,"Interior, Development, Review",Data cleanup in progress,User Training - 99
48,Renewal Discussion - 39,Sales Pipeline,Lost (Sales),Waiting,Ready Mat,10/03/2026,17/03/2026,"Wei Lin Mak, Isaac Sequeira",Low priority,"Client, Testing",Budget approval pending,Flooring
49,Permit Approval - 18,Home Construction,Done (Home Construction),On Hold,Ready Mat,25/01/2026,11/02/2026,"Sienna Foster, Elsa David",Low priority,"Urgent, Client, Interior",Client requested changes to the original plan,Flooring
50,Final Touches - 24,Renovations,In Progress (Renovations),Approved,Brandon Freeman,02/06/2025,19/06/2025,Jenny Vikman,Low priority,"Testing, Design, Client",Material samples pending,
51,Landscaping - 89,Home Construction,Cancelled (Home Construction),In Progress,The Jackson Group,22/02/2026,16/03/2026,"Raphaël Gerard, Mathilde Jacquet",Urgent,Support,"Task: Landscaping - 89
Project: Home Construction
Priority: Urgent

Description: Hoàn thành công việc chuẩn bị và thiết kế cảnh quan cho khu vực ngoài trời của dự án, bao gồm trồng cây, lắp đặt hệ thống tưới nước và sắp xếp các yếu tố trang trí theo kế hoạch đã phê duyệt. Cần ưu tiên hoàn thành công đoạn này để đảm bảo tiến độ chung của dự án Home Construction.",Performance Testing - Subtask 11
52,Cabinet Installation - 7,Renovations,New (Renovations),Cancelled,Azure Interior,18/12/2025,17/01/2026,Sienna Foster,Medium priority,Review,Material samples pending,Renewal Discussion - Subtask 100
53,Contract Negotiation - 76,Sales Pipeline,Won (Sales),In Progress,Wood Corner,11/10/2025,23/11/2025,Morgan Nichols,Low priority,"Training, Documentation",Competitive bid situation,Final Approval
54,Workflow Setup - 60,ERP Implementation,Planning (ERP),On Hold,Lumber Inc,03/08/2025,01/09/2025,Marc Moreno,Low priority,"Testing, Review",Critical for Q1 launch,Flooring
55,Security Audit - 51,ERP Implementation,Deployment (ERP),On Hold,Azure Interior,02/01/2026,04/02/2026,Gabriel Manning,Low priority,"Budget, Meeting",Critical for Q1 launch,User Training - 99
56,Reference Check - 34,Sales Pipeline,Won (Sales),Done,Delta PC,13/01/2026,13/02/2026,"Monika Bose, Felix Nygren",Medium priority,"Documentation, Development","Task: Reference Check - 34
Project: Sales Pipeline
Priority: Medium

Mô tả công việc:
Tiến hành kiểm tra và xác minh các tài liệu tham chiếu từ khách hàng tiềm năng nhằm đảm bảo tính xác thực và đáp ứng các tiêu chuẩn chất lượng của dự án Sales Pipeline. Hoàn thành việc xác nhận thông tin và cập nhật trạng thái trong hệ thống quản lý bán hàng để hỗ trợ quy trình bán hàng tiếp theo.",Workflow Setup - 27
57,Data Migration - 48,ERP Implementation,Testing (ERP),Done,"Bright Solutions, Lumber Inc",26/02/2026,10/03/2026,"Valentijn Vos, Douwe Pieters",High priority,Documentation,User acceptance pending,System Analysis - 56
58,Plumbing - 72,Renovations,New (Renovations),Done,Bright Solutions,08/11/2025,03/01/2026,"Yuma Yoshimura, Yusuke Shimada",Medium priority,"Support, Client",Customer requests a new meeting,Module Configuration - 79
59,System Analysis - 38,ERP Implementation,Closed (ERP),Changes Requested,"Lumber Inc, The Jackson Group",05/03/2025,22/03/2025,Marc Moreno,High priority,Interior,Data cleanup in progress,Subcontractor Coordination - Subtask 69
60,Bug Fixing - 46,ERP Implementation,Planning (ERP),Changes Requested,Delta PC,05/06/2025,01/07/2025,Hùng Tạ,Medium priority,Development,Dependencies on vendor API,Product Demo - Subtask 1
61,System Analysis - 56,ERP Implementation,Planning (ERP),On Hold,Brandon Freeman,30/01/2026,02/03/2026,"Ronald Manning, Daniel Dixon",Medium priority,"Training, Testing, Planning",Dependencies on vendor API,
62,Requirement Analysis - 48,Sales Pipeline,Qualified (Sales),Done,ASUSTeK,15/12/2025,05/02/2026,Herta Winkler,Medium priority,"Documentation, Review, Design",Competitive bid situation,Plumbing - 72
63,Integration Testing - 96,ERP Implementation,Closed (ERP),Done,"Lumber Inc, Azure Interior",31/01/2026,08/02/2026,Akihiro Matsuo,High priority,Testing,Integration complexity high,Electrical Wiring - 91
64,Drywall Installation - 76,Home Construction,Cancelled (Home Construction),On Hold,Gemini Furniture,02/02/2026,17/02/2026,"Herta Winkler, Long Hồ",Medium priority,"Support, Budget, Client",Foundation needs to be completed before winter,User Training - 84
65,Permit Approval - 72,Home Construction,New (Home Construction),In Progress,Lumber Inc,04/01/2026,22/01/2026,Gabriela Urbański,High priority,"Development, Review",Building code compliance required,UAT Preparation - Subtask 49
66,Final Touches - 99,Renovations,In Progress (Renovations),In Progress,"Wood Corner, Bright Solutions",18/03/2025,05/04/2025,Kai Wen Shen,Urgent,Design,Design needs final approval,Lead Qualification - Subtask 31
67,Drywall Installation - 77,Home Construction,Cancelled (Home Construction),Waiting,"Ready Mat, Gemini Furniture",07/08/2025,06/09/2025,Wanting Liang,Low priority,Interior,Requires specialized equipment,
68,Reference Check - 52,Sales Pipeline,Qualified (Sales),Changes Requested,"Azure Interior, ASUSTeK",23/02/2026,19/03/2026,"Nico Hoffmann, Ivan Bühler",Low priority,"Design, Client",Custom requirements discussed,
69,Foundation Work - 69,Home Construction,Cancelled (Home Construction),Done,"China Export, Camptocamp",17/02/2026,28/02/2026,Georg Malmström,Medium priority,"Interior, Development","Dự án: Home Construction
Tác vụ: Foundation Work - 69
Độ ưu tiên: Medium priority

Mô tả: Thực hiện các công việc chuẩn bị nền móng bao gồm đào móng, chuẩn bị lớp đệm và kiểm tra độ bằng phẳng theo tiêu chuẩn kỹ thuật xây dựng. Đảm bảo hoàn thành đúng tiến độ và chất lượng công trình để chuẩn bị cho giai đoạn xây dựng cột, dầm kế tiếp.",
70,User Training - 84,ERP Implementation,Development (ERP),Approved,"Think Big Systems, The Jackson Group",20/02/2026,28/03/2026,Josh Hughes,Urgent,"Client, Review","
Task ID: User Training - 84
Project: ERP Implementation
Priority: Urgent

Description:
Tập huấn người dùng cuối về các module chính của hệ thống ERP để đảm bảo quá trình triển khai suôn sẻ và tối ưu hóa sử dụng phần mềm. Hoàn thành khóa đào tạo trong thời gian sớm nhất có thể để giảm thiểu rủi ro về việc chậm trễ trong việc áp dụng hệ thống.
",
71,Exterior Finishing - 42,Home Construction,New (Home Construction),On Hold,"Azure Interior, Deco Addict",18/12/2025,22/01/2026,Kai Wen Shen,High priority,"Design, Interior, Work",Requires specialized equipment,
72,Structural Changes - 7,Renovations,Review (Renovations),Changes Requested,Deco Addict,02/01/2026,30/01/2026,Sven Kühn,Low priority,"Testing, Review, Urgent",Must be done <b>before</b> plumbing,
73,Client Meeting - 72,Sales Pipeline,Proposal (Sales),Changes Requested,Delta PC,20/02/2026,05/03/2026,"Paul Wolf, Giang Kha",Medium priority,"Development, Testing, Support",Competitive bid situation,Foundation Work - 69
74,Feature Enhancement - 79,ERP Implementation,Planning (ERP),Waiting,"Deco Addict, Delta PC",13/01/2026,30/01/2026,Himari Miyashita,Low priority,"Interior, Review, Support",Dependencies on vendor API,
75,Reference Check - 52,Sales Pipeline,Proposal (Sales),In Progress,"Lumber Inc, Deco Addict",27/02/2026,27/03/2026,"Massimo Pacifico, Valentijn Vos",Urgent,"Review, Budget",Competitive bid situation,Kitchen Cabinets - Subtask 21
76,Product Demo - 17,Sales Pipeline,Lead (Sales),On Hold,"The Jackson Group, Agrolait",08/01/2026,11/02/2026,Minato Fujii,High priority,"Design, Meeting","Project: Sales Pipeline
Task: Product Demo - 17
Priority: High priority

Description:
Chuẩn bị và thực hiện bản demo sản phẩm cho khách hàng tiềm năng nhằm giới thiệu các tính năng chính và thuyết phục họ về giá trị của giải pháp. Đảm bảo rằng các tài liệu hỗ trợ, slide thuyết trình và các ví dụ thực tế được chuẩn bị đầy đủ để tạo ấn tượng chuyên nghiệp và thúc đẩy quá trình bán hàng.",Permit Application - 63
77,Bathroom Fixtures - 39,Home Construction,Cancelled (Home Construction),Done,Camptocamp,22/01/2026,20/02/2026,Greetje Vermeulen,Medium priority,"Budget, Documentation",Client requested changes to the original plan,Roof Installation - Subtask 71
78,Vendor Coordination - 29,ERP Implementation,Development (ERP),Waiting,"China Export, Bright Solutions",11/03/2026,23/03/2026,Raphaël Gerard,Low priority,"Support, Testing",Critical for Q1 launch,Feedback Collection - Subtask 87
79,Electrical Wiring - 12,Home Construction,Done (Home Construction),Approved,"Deco Addict, Delta PC",22/02/2026,06/03/2026,"Szymon Tomaszewski, Roy Gagné",High priority,Documentation,Client requested changes to the original plan,Reference Check - 52
