id,title,project,stage,state,customer,start_date,deadline,assignees,priority,tags,description,parent_task
80,Reference Check - 70,Sales Pipeline,Qualified (Sales),Done,Think Big Systems,20/02/2026,10/03/2026,"Klaartje Desmet, Daniel Dixon",High priority,"Budget, Meeting","Dự án: Sales Pipeline
Tên nhiệm vụ: Reference Check - 70
Mức độ ưu tiên: High priority
Mô tả: Tiến hành kiểm tra các tài liệu tham khảo và xác minh thông tin của khách hàng tiềm năng trong quy trình bán hàng để đảm bảo độ tin cậy và chất lượng cao nhất. Hoàn thành kiểm tra tham khảo trong thời gian sớm nhất để hỗ trợ tiến độ dự án Sales Pipeline.",Material Selection - Subtask 90
81,Final Inspection - 46,Home Construction,Cancelled (Home Construction),Changes Requested,Azure Interior,11/01/2026,15/02/2026,Hwan Samchong,Low priority,"Client, Support, Budget",Must coordinate with electrical team,Demolition - Subtask 53
82,Demolition - 43,Renovations,New (Renovations),Approved,"Think Big Systems, Ready Mat",15/03/2026,25/03/2026,Zheng Xiong,Low priority,"Meeting, Design",The customer did not choose the colour yet,Vendor Coordination - 72
83,Onboarding Setup - 52,Sales Pipeline,Lost (Sales),Changes Requested,Delta PC,06/06/2025,23/07/2025,Dina Janssen,High priority,"Work, Development, Review",Custom requirements discussed,
84,Documentation - 15,ERP Implementation,Deployment (ERP),In Progress,Delta PC,17/09/2025,05/10/2025,Vania Medeiros,Low priority,"Development, Budget",Performance benchmarks required,Final Touches - 37
85,Design Consultation - 70,Renovations,Review (Renovations),Done,"Bright Solutions, Camptocamp",10/02/2026,23/02/2026,"Sophia Rose, Klaartje Desmet",High priority,"Training, Budget",Material samples pending,Kitchen Renovations
86,Plumbing - 5,Renovations,In Progress (Renovations),Changes Requested,Bright Solutions,01/01/2026,01/02/2026,Samuel Jenkins,Low priority,Documentation,Customer requests a new meeting,Door Installation - Subtask 38
87,Wall Painting - 95,Renovations,Review (Renovations),On Hold,Bright Solutions,13/01/2026,23/01/2026,"Yuma Yoshimura, Jennifer Hunt",High priority,"Testing, Meeting, Review","Task: Wall Painting - 95
Project: Renovations
Priority: High priority

Description: Hoàn thành công việc sơn tường theo tiêu chuẩn chất lượng cao để đảm bảo kết thúc dự án Cải tạo đúng thời hạn. Ưu tiên thực hiện với độ chính xác và tỉ mỉ trong từng chi tiết sơn để đạt hiệu quả thẩm mỹ tối ưu.",Reference Check - Subtask 60
88,Final Approval - 67,Sales Pipeline,Qualified (Sales),Cancelled,Azure Interior,13/02/2026,16/03/2026,Nico Hoffmann,Urgent,Planning,"Task: Final Approval - 67
Project: Sales Pipeline
Priority: Urgent

Description: Thực hiện phê duyệt cuối cùng cho giai đoạn bán hàng 67 nhằm hoàn tất quy trình và đẩy nhanh tiến độ dự án theo lịch biểu đã định. Cần xử lý ưu tiên cao để tránh trì hoãn các bước tiếp theo trong đường ống bán hàng.",
89,Bathroom Fixtures - 66,Home Construction,Done (Home Construction),In Progress,"Wood Corner, Agrolait",22/01/2026,31/01/2026,Dennis Wilson,Low priority,Design,"Dự án: Home Construction
Tác vụ: Bathroom Fixtures - 66
Mức độ ưu tiên: Low priority
Mô tả: Lựa chọn và cài đặt các thiết bị phòng tắm bao gồm vòi nước, bồn cầu, bồn rửa và các phụ kiện liên quan để hoàn thiện không gian vệ sinh. Đảm bảo tất cả các thiết bị đáp ứng tiêu chuẩn chất lượng và thẩm mỹ của dự án.",Report Customization - Subtask 6
90,Vendor Coordination - 72,ERP Implementation,Development (ERP),On Hold,"Brandon Freeman, Wood Corner",24/12/2025,25/01/2026,"Max Engström, Rebecca Simon",High priority,"Meeting, Training",User acceptance pending,Report Customization - Subtask 19
91,Partnership Discussion - 37,Sales Pipeline,Negotiation (Sales),Done,"Brandon Freeman, ASUSTeK",08/05/2025,15/06/2025,Ryan Wallace,Urgent,"Documentation, Interior","Task: Partnership Discussion - 37
Project: Sales Pipeline
Priority: Urgent

Description: Cuộc thảo luận quan trọng với đối tác tiềm năng nhằm tìm hiểu nhu cầu kinh doanh và khám phá cơ hội hợp tác chiến lược để phát triển doanh số bán hàng. Cần hoàn thành các thỏa thuận ban đầu và lên kế hoạch cho bước tiếp theo trong quy trình đàm phán để đạt được mục tiêu hợp tác.",Partnership Discussion - 99
92,Drywall Installation - 34,Home Construction,New (Home Construction),Cancelled,Brandon Freeman,18/01/2025,10/03/2025,Elsa David,High priority,"Interior, Budget",Building code compliance required,Cabinet Installation - Subtask 96
93,Kitchen Renovations - 11,Renovations,Review (Renovations),In Progress,"Bright Solutions, Ready Mat",08/02/2026,11/03/2026,Finn Post,Low priority,"Interior, Support",Material samples pending,Go-Live Planning - Subtask 7
94,Subcontractor Coordination - 15,Home Construction,New (Home Construction),Done,Deco Addict,28/02/2026,09/03/2026,"Klaartje Desmet, Oscar Singh",Low priority,"Support, Testing","Nhiệm vụ: Subcontractor Coordination - 15
Dự án: Home Construction
Mức độ ưu tiên: Low priority

Mô tả: Phối hợp và quản lý các công việc của các nhà thầu phụ trong giai đoạn thi công nhà ở, đảm bảo tiến độ công việc diễn ra đúng kế hoạch và chất lượng đạt tiêu chuẩn yêu cầu. Liên lạc thường xuyên với các nhà thầu để giải quyết các vấn đề phát sinh và tối ưu hóa hiệu suất làm việc.",Account Review - Subtask 10
95,Partnership Discussion - 99,Sales Pipeline,Won (Sales),On Hold,The Jackson Group,25/02/2026,20/03/2026,Austin Turner,Urgent,Work,"**Task:** Partnership Discussion - 99
**Project:** Sales Pipeline
**Priority:** Urgent
**Description:** Thảo luận chiến lược hợp tác với đối tác chính nhằm mở rộng cơ hội kinh doanh và tăng doanh số bán hàng. Cần hoàn thành cuộc họp trong tuần này để đánh giá khả năng hợp tác và thỏa thuận điều khoản kinh doanh.

**Translation:** Strategic partnership discussion with key partners to expand business opportunities and increase sales revenue. Meeting needs to be completed this week to assess collaboration potential and negotiate business terms.",Deal Closing - Subtask 16
96,Client Walkthrough - 82,Home Construction,Done (Home Construction),In Progress,Think Big Systems,30/01/2026,18/02/2026,Emma Käser,Urgent,"Support, Interior, Meeting",Must coordinate with electrical team,Wall Painting - 95
97,Final Touches - 37,Renovations,Review (Renovations),In Progress,Azure Interior,20/02/2026,28/02/2026,Lara Bieri,Urgent,"Testing, Client, Budget","
Project: Renovations
Task: Final Touches - 37
Priority: Urgent
Description: Hoàn thiện các chi tiết cuối cùng của dự án cải tạo, bao gồm kiểm tra chất lượng, dọn dẹp và đảm bảo tất cả các công việc đáp ứng tiêu chuẩn yêu cầu. Cần ưu tiên hoàn thành ngay để sẵn sàng cho bàn giao dự án.
",
98,Performance Testing - 21,ERP Implementation,Development (ERP),Changes Requested,Ready Mat,13/02/2026,19/03/2026,Jenny Vikman,Medium priority,Testing,Performance benchmarks required,
99,Data Migration - 44,ERP Implementation,Planning (ERP),On Hold,"The Jackson Group, Bright Solutions",01/02/2026,02/03/2026,Charlotte Wenger,Medium priority,"Budget, Review, Support",Training materials needed,Pricing Discussion - Subtask 65
100,Post Go-Live Support - 66,ERP Implementation,Testing (ERP),On Hold,Deco Addict,07/03/2026,26/03/2026,Tilde Haglund,High priority,Testing,"Task: Post Go-Live Support - 66
Project: ERP Implementation
Priority: High priority

Task Description (Vietnamese):
Cung cấp hỗ trợ sau khi triển khai hệ thống ERP, bao gồm giám sát hiệu suất, xử lý sự cố và hỗ trợ người dùng cuối. Đảm bảo tính ổn định và hiệu quả hoạt động của hệ thống trong giai đoạn quan trọng này.
",Vendor Coordination - Subtask 41
101,Product Demo - Subtask 1,Sales Pipeline,Lost (Sales),Done,"ASUSTeK, Ready Mat",21/02/2026,17/03/2026,"Xavier Tham, Yen Li Fong",Low priority,Meeting,"Task: Product Demo - Subtask 1
Project: Sales Pipeline
Priority: Low
Description: Chuẩn bị các tài liệu và slides trình bày sản phẩm cho cuộc demo sắp tới. Đảm bảo tất cả các thông tin kỹ thuật và lợi ích sản phẩm được trình bày rõ ràng và chuyên nghiệp.",System Analysis - 38
102,Design Consultation - Subtask 2,Renovations,In Progress (Renovations),Done,"Wood Corner, Azure Interior",11/02/2026,27/02/2026,Yuto Shimizu,Low priority,"Urgent, Budget","Task: Design Consultation - Subtask 2
Project: Renovations
Priority: Low priority
Description: Tiến hành tham vấn và thu thập phản hồi từ các bên liên quan về thiết kế khu vực thứ hai của dự án cải tạo. Hoàn thành báo cáo tóm tắt các đề xuất thiết kế và khuyến nghị cải tiến để trình cho đội quản lý dự án.",Final Touches - 37
103,Partnership Discussion - Subtask 3,Sales Pipeline,Proposal (Sales),Waiting,Deco Addict,29/12/2025,19/01/2026,"Ronald Manning, Erik Dekker",Low priority,"Testing, Work, Planning","Task: Partnership Discussion - Subtask 3
Project: Sales Pipeline
Priority: Low priority
Description (Vietnamese): Tiến hành thảo luận chi tiết về các điều khoản hợp tác và lợi ích kinh tế với đối tác để định hình chiến lược phát triển kinh doanh dài hạn. Chuẩn bị tài liệu hỗ trợ và các đề xuất cụ thể nhằm hỗ trợ cho vòng đàm phán tiếp theo.",Flooring
104,User Training - Subtask 4,ERP Implementation,Planning (ERP),On Hold,"Camptocamp, ASUSTeK",02/02/2025,25/02/2025,"Emma Duncan, Bình An",Low priority,"Training, Planning, Testing",Dependencies on vendor API,User Training - 97
105,Post Go-Live Support - Subtask 5,ERP Implementation,Development (ERP),On Hold,"Wood Corner, Azure Interior",25/02/2026,23/03/2026,Su-bin Kang,Urgent,"Work, Testing",Data cleanup in progress,Reference Check - 52
106,Report Customization - Subtask 6,ERP Implementation,Deployment (ERP),Changes Requested,Delta PC,13/02/2026,20/02/2026,"Jürgen Voigt, Yuma Yoshimura",Medium priority,"Development, Meeting",User acceptance pending,
107,Go-Live Planning - Subtask 7,ERP Implementation,Deployment (ERP),Cancelled,"Brandon Freeman, Bright Solutions",17/01/2026,09/02/2026,"Emma Duncan, Marc Moreno",Urgent,Design,Performance benchmarks required,Lighting Fixtures - Subtask 77
108,Account Review - Subtask 8,Sales Pipeline,Lost (Sales),Waiting,"China Export, The Jackson Group",02/01/2025,07/02/2025,Iwona Piwowarczyk,Low priority,Documentation,"Task: Account Review - Subtask 8
Project: Sales Pipeline
Priority: Low

Description:
Kiểm tra và xác nhận thông tin tài khoản khách hàng, bao gồm dữ liệu liên hệ và lịch sử giao dịch để đảm bảo tính chính xác và cập nhật. Hoàn thành nhiệm vụ này trong khuôn khổ quy trình quản lý tài khoản định kỳ của phòng Sales.",Data Migration - 44
109,Change Management - Subtask 9,ERP Implementation,Planning (ERP),In Progress,Ready Mat,22/02/2026,06/03/2026,"Vinícius Farias, Xiuxiu Fang",Medium priority,"Review, Client, Support",Integration complexity high,Deal Closing - Subtask 16
110,Account Review - Subtask 10,Sales Pipeline,Proposal (Sales),On Hold,"Wood Corner, Brandon Freeman",15/10/2025,12/12/2025,"Nadiah Kua, Simon Timmermans",Low priority,Support,Custom requirements discussed,
111,Performance Testing - Subtask 11,ERP Implementation,Development (ERP),Approved,"Lumber Inc, Agrolait",20/01/2026,06/02/2026,Sienna Foster,High priority,Design,"Task: Performance Testing - Subtask 11
Project: ERP Implementation
Priority: High priority

Description (Vietnamese):
Tiến hành kiểm thử hiệu suất hệ thống ERP nhằm đảm bảo tính ổn định và tốc độ xử lý dữ liệu lớn dưới tải công việc cao. Xác định các điểm tắc nghẽn và đưa ra khuyến nghị tối ưu hóa để đáp ứng yêu cầu hiệu suất của doanh nghiệp.

English Translation:
Conduct performance testing of the ERP system to ensure stability and data processing speed under high workload conditions. Identify bottlenecks and provide optimization recommendations to meet business performance requirements.",Exterior Finishing - 2
112,Flooring - Subtask 12,Home Construction,Cancelled (Home Construction),Changes Requested,Think Big Systems,18/02/2026,15/03/2026,"Gabriela Urbański, Sabine De Wit",High priority,"Review, Meeting","Task: Flooring - Subtask 12
Project: Home Construction
Priority: High priority
Description: Thực hiện lắp đặt hoàn thiện sàn nhà, bao gồm việc kiểm tra chất lượng vật liệu và đảm bảo độ bằng phẳng theo tiêu chuẩn kỹ thuật xây dựng. Công việc này đòi hỏi sự chính xác cao và tuân thủ lịch trình thi công để đảm bảo tiến độ dự án.",Client Walkthrough - 82
113,Roof Installation - Subtask 13,Home Construction,Done (Home Construction),Approved,Lumber Inc,20/02/2026,16/03/2026,Yusuke Shimada,Medium priority,"Work, Meeting",Foundation needs to be completed before winter,Tile Work - 8
114,Demolition - Subtask 14,Renovations,Review (Renovations),Changes Requested,Lumber Inc,19/01/2026,16/02/2026,"Clara Morales, Lakshman Joshi",High priority,"Development, Support",Material samples pending,Final Touches - 99
115,System Backup - Subtask 15,ERP Implementation,Development (ERP),Cancelled,"Azure Interior, The Jackson Group",03/04/2025,24/04/2025,"Valentijn Vos, Sara Martínez",Medium priority,"Budget, Support","Task: System Backup - Subtask 15
Project: ERP Implementation
Priority: Medium

Description: Thực hiện sao lưu dữ liệu hệ thống theo lịch trình định kỳ và xác minh tính toàn vẹn của các bản sao lưu. Đảm bảo rằng tất cả các quy trình sao lưu tuân thủ các tiêu chuẩn bảo mật và khôi phục dữ liệu được thử nghiệm.",Lighting Fixtures - Subtask 77
116,Deal Closing - Subtask 16,Sales Pipeline,Qualified (Sales),Changes Requested,Ready Mat,08/01/2026,10/02/2026,Raphaël Gerard,Urgent,"Planning, Training, Documentation",Timeline is aggressive,Onboarding Setup - 52
117,Flooring - Subtask 17,Home Construction,In Progress (Home Construction),On Hold,"Camptocamp, Think Big Systems",27/02/2026,18/03/2026,"Zheng Xiong, Arnav More",Medium priority,Budget,Requires specialized equipment,Contract Negotiation - Subtask 97
118,Plumbing - Subtask 18,Renovations,New (Renovations),On Hold,"Wood Corner, Camptocamp",06/03/2026,20/03/2026,Paul Wolf,Medium priority,Meeting,Customer requests a new meeting,Account Review - Subtask 33
119,Report Customization - Subtask 19,ERP Implementation,Closed (ERP),Waiting,Brandon Freeman,03/03/2026,23/03/2026,Mariah Carlson,Urgent,Documentation,"Task: Report Customization - Subtask 19
Project: ERP Implementation
Priority: Urgent

Description:
Tùy chỉnh các báo cáo hệ thống theo yêu cầu đặc thù của khách hàng, bao gồm điều chỉnh định dạng, bộ lọc dữ liệu và các trường dữ liệu để đảm bảo đáp ứng đủ nhu cầu phân tích kinh doanh. Hoàn thành công việc này trước thời hạn đã định để hỗ trợ tiến độ tổng thể dự án triển khai ERP.",User Training - Subtask 4
120,Material Procurement - Subtask 20,Home Construction,Done (Home Construction),Waiting,Camptocamp,01/02/2026,14/02/2026,Cheng Tang,Medium priority,Development,"Project: Home Construction
Task: Material Procurement - Subtask 20
Priority: Medium priority

Description: Tiến hành mua sắm và đặt hàng các vật liệu xây dựng cần thiết cho giai đoạn tiếp theo của dự án, bao gồm kiểm tra chất lượng và đảm bảo giao hàng đúng thời hạn. Phối hợp với các nhà cung cấp để tối ưu hóa chi phí và đảm bảo tuân thủ các thông số kỹ thuật đã được phê duyệt.",Report Customization - Subtask 6
121,Kitchen Cabinets - Subtask 21,Home Construction,In Progress (Home Construction),Waiting,Brandon Freeman,24/12/2025,24/01/2026,Rubén Ferrer,Urgent,Documentation,"Task: Kitchen Cabinets - Subtask 21
Project: Home Construction
Priority: Urgent
Description: Hoàn thành lắp đặt các tủ bếp theo thiết kế chi tiết và đảm bảo all các kết nối điện, nước được kiểm tra an toàn trước khi chuyển giao. Yêu cầu kiểm tra chất lượng bề mặt, cửa tủ, và các phần cứng để đáp ứng tiêu chuẩn xây dựng.",Workflow Setup - 66
122,Bathroom Fixtures - Subtask 22,Home Construction,Done (Home Construction),Approved,"Wood Corner, Lumber Inc",01/06/2025,20/06/2025,"Huimin Soh, Marion Ziegler",Low priority,"Support, Review",Requires specialized equipment,Demolition - Subtask 14
123,Lead Qualification - Subtask 23,Sales Pipeline,Proposal (Sales),Changes Requested,Bright Solutions,20/02/2026,27/02/2026,Ryder Cooper,Low priority,"Training, Documentation, Budget","
Task: Lead Qualification - Subtask 23
Project: Sales Pipeline
Priority: Low priority

Description (Vietnamese):
Đánh giá và phân loại các khách hàng tiềm năng dựa trên tiêu chí định trước để xác định mức độ sẵn sàng mua hàng. Hoàn thành các kiểm tra xác minh cần thiết và cập nhật trạng thái lead trong hệ thống CRM.

(English translation for reference: Assess and classify potential customers based on predetermined criteria to determine purchase readiness. Complete necessary verification checks and update lead status in the CRM system.)
",Workflow Setup - 60
124,Final Approval - Subtask 24,Sales Pipeline,Proposal (Sales),Approved,Gemini Furniture,24/01/2026,02/02/2026,Ruth Robinson,High priority,Training,"Task Description for ""Final Approval - Subtask 24"":

Dự án: Sales Pipeline
Tên công việc: Final Approval - Subtask 24
Độ ưu tiên: High priority

Mô tả công việc:
Thực hiện kiểm duyệt và phê duyệt cuối cùng cho các tài liệu và quy trình bán hàng nhằm đảm bảo tuân thủ tiêu chuẩn chất lượng và chính sách công ty trước khi triển khai đến khách hàng. Công việc này đòi hỏi sự chú ý tỉ mỉ đến chi tiết và phải được hoàn thành trong thời gian nhanh chóng do tính cấp bách của giai đoạn này.",Bathroom Fixtures - 39
125,Cabinet Installation - Subtask 25,Renovations,New (Renovations),On Hold,Ready Mat,26/02/2026,11/03/2026,Hae-young Yoon,High priority,Work,"Task: Cabinet Installation - Subtask 25
Project: Renovations
Priority: High priority

Description (Vietnamese):
""Thực hiện lắp đặt tủ canh cuối cùng và kiểm tra toàn bộ hệ thống canh để đảm bảo chất lượng, độ chính xác về mặt bằng và an toàn theo tiêu chuẩn dự án. Hoàn tất các công việc hoàn thiện bề mặt và điều chỉnh cửa tủ để đạt tiêu chuẩn kỹ thuật yêu cầu.""

Translation:
""Complete the installation of the final cabinet unit and verify the entire cabinet system to ensure quality, level accuracy, and safety according to project standards. Finalize surface finishing and adjust cabinet doors to meet required technical specifications.""",Onboarding Setup - 52
126,Roof Installation - Subtask 26,Home Construction,In Progress (Home Construction),Cancelled,"Delta PC, Camptocamp",26/10/2025,19/12/2025,"Ivan Bühler, Sung-hoon Pang",Urgent,"Work, Meeting","Task: Roof Installation - Subtask 26
Project: Home Construction
Priority: Urgent
Description: Hoàn thành lắp đặt các tấm mái cuối cùng và kiểm tra chất lượng các mối nối để đảm bảo tính toàn vẹn của kết cấu mái nhà. Thực hiện các bước kiểm tra cuối cùng và sửa chữa bất kỳ khuyết tật nào trước khi chuyển sang giai đoạn tiếp theo của dự án.",
127,Furnitures - Subtask 27,Renovations,In Progress (Renovations),Approved,Agrolait,26/02/2026,05/03/2026,"Gijs van der Berg, Sơn Tiêu",Urgent,"Review, Work, Interior","Tên công việc: Furnitures - Subtask 27
Dự án: Renovations
Mức độ ưu tiên: Urgent

Mô tả công việc:
Hoàn thành lựa chọn, mua sắm và kiểm tra chất lượng các loại nội thất cần thiết cho dự án sửa chữa nhằm đảm bảo đáp ứng tiêu chuẩn thiết kế và tiến độ dự án. Cần phối hợp với nhà cung cấp và đội thi công để đảm bảo giao hàng đúng thời hạn và lắp đặt chính xác theo yêu cầu kỹ thuật.",Subcontractor Coordination - Subtask 46
128,Reference Check - Subtask 28,Sales Pipeline,Qualified (Sales),On Hold,"Gemini Furniture, China Export",19/01/2026,18/02/2026,Akihiro Matsuo,Low priority,Testing,The customer requests a new meeting to launch the second phase,Material Procurement - Subtask 98
129,Requirement Analysis - Subtask 29,Sales Pipeline,Lead (Sales),In Progress,"Gemini Furniture, Lumber Inc",31/12/2025,30/01/2026,Bernd Haas,Urgent,"Development, Budget",The customer requests a new meeting to launch the second phase,Cabinet Installation - Subtask 96
130,Bug Fixing - Subtask 30,ERP Implementation,Closed (ERP),Approved,"Lumber Inc, Brandon Freeman",25/02/2026,08/03/2026,Rika Kawasaki,Low priority,"Meeting, Interior","Task: Bug Fixing - Subtask 30
Project: ERP Implementation
Priority: Low priority

Description:
Xác định và khắc phục các lỗi nhỏ trong hệ thống ERP để đảm bảo tính ổn định và hiệu suất tối ưu của ứng dụng. Công việc này bao gồm kiểm tra, phân tích và triển khai các bản vá lỗi cần thiết.

Task Details:
- Task Type: Bug Fixing
- Subtask Number: 30
- Status: Open
- Severity: Low
- Estimated Effort: 2-4 hours",Electrical Wiring
131,Lead Qualification - Subtask 31,Sales Pipeline,Won (Sales),Waiting,"Ready Mat, Bright Solutions",08/03/2026,27/03/2026,Brittany Andrews,High priority,Budget,Competitive bid situation,Access Control Setup - Subtask 64
132,Requirement Gathering - Subtask 32,ERP Implementation,Closed (ERP),Approved,"Deco Addict, China Export",14/03/2026,27/03/2026,"Amy Smith, Thanh Nguyễn",Low priority,"Training, Development","Task Description for Requirement Gathering - Subtask 32:

Tiến hành thu thập và phân tích các yêu cầu chi tiết từ các bộ phận liên quan để đảm bảo hệ thống ERP được triển khai đáp ứng đầy đủ nhu cầu kinh doanh. Ghi chép tài liệu các yêu cầu kỹ thuật và chức năng để phục vụ cho giai đoạn thiết kế và phát triển tiếp theo.

Priority: Low Priority
Project: ERP Implementation",Final Touches - 37
133,Account Review - Subtask 33,Sales Pipeline,Qualified (Sales),Done,"Lumber Inc, China Export",03/09/2025,05/10/2025,"Lorena Dias, Sơn Tiêu",Medium priority,Work,Competitive bid situation,Performance Testing - Subtask 81
134,Plumbing Setup - Subtask 34,Home Construction,New (Home Construction),Waiting,Azure Interior,12/02/2026,22/02/2026,"Nasir Leong, Gijs van der Berg",Urgent,Development,"Task: Plumbing Setup - Subtask 34
Project: Home Construction
Priority: Urgent

Description:
Tiến hành kiểm tra và lắp đặt các đường ống nước cấp và thoát nước theo thiết kế kỹ thuật đã được phê duyệt, đảm bảo tuân thủ các tiêu chuẩn xây dựng và an toàn. Hoàn thành công việc trong thời hạn quy định để tránh ảnh hưởng đến tiến độ thi công các hạng mục khác của dự án.",System Backup - Subtask 15
135,Permit Application - Subtask 35,Renovations,Done (Renovations),Approved,"Ready Mat, Think Big Systems",05/02/2026,13/02/2026,"Greetje Vermeulen, Wout Rousseau",High priority,Testing,"Task: Permit Application - Subtask 35
Project: Renovations
Priority: High Priority

Description: Hoàn thành các yêu cầu giấy phép cuối cùng và gửi đơn xin cấp phép chính thức cho cơ quan có thẩm quyền để đảm bảo tuân thủ quy định xây dựng. Xác minh tất cả tài liệu đính kèm đúng đắn và đầy đủ trước khi nộp để tránh trễ trong quá trình phê duyệt.",Final Approval
136,Proposal Preparation - Subtask 36,Sales Pipeline,Won (Sales),On Hold,"Think Big Systems, Agrolait",07/01/2026,20/01/2026,"Emma Käser, Charlotte Wenger",Medium priority,Work,"Task: Proposal Preparation - Subtask 36
Project: Sales Pipeline
Priority: Medium

Description (Vietnamese):
Chuẩn bị các tài liệu và nội dung đề xuất chi tiết, bao gồm định giá, điều khoản dịch vụ và lịch triển khai để gửi cho khách hàng tiềm năng. Đảm bảo tất cả các yếu tố kinh doanh được xác nhận và phù hợp với yêu cầu cụ thể của khách hàng trước khi hoàn tất.",HVAC Installation - 6
137,Reference Check - Subtask 37,Sales Pipeline,Proposal (Sales),Approved,"Lumber Inc, Delta PC",25/08/2025,23/09/2025,"Messias Pinheiro, Paulette Schmitt",Low priority,Testing,Custom requirements discussed,Change Management - Subtask 9
138,Door Installation - Subtask 38,Renovations,Review (Renovations),Cancelled,Lumber Inc,24/03/2025,20/05/2025,"João Marques, Xiaoxia Qiu",Medium priority,Meeting,Must be done <b>before</b> plumbing,Plumbing - 5
139,Demolition - Subtask 39,Renovations,Review (Renovations),Approved,Gemini Furniture,16/03/2026,24/03/2026,Hùng Tạ,Low priority,Training,"Task: Demolition - Subtask 39
Project: Renovations
Priority: Low priority

Description: Tiến hành tháo dỡ các vật liệu xây dựng cũ và loại bỏ khỏi khu vực công trình theo quy định an toàn. Công việc này được thực hiện với mức độ ưu tiên thấp và tuân thủ đầy đủ các tiêu chuẩn an toàn lao động hiện hành.",Feedback Collection - Subtask 87
140,Wall Framing - Subtask 40,Home Construction,Cancelled (Home Construction),In Progress,Think Big Systems,01/02/2026,13/02/2026,"Celina Anand, Carina Lundström",Low priority,Planning,Building code compliance required,System Backup - Subtask 15
141,Vendor Coordination - Subtask 41,ERP Implementation,Deployment (ERP),Waiting,Deco Addict,29/01/2026,25/02/2026,Hyun-jung Cho,Medium priority,Design,Critical for Q1 launch,Subcontractor Coordination - Subtask 46
